Population	Best
10	14,693874544024036
11	14,587972248050928
12	14,811306773478293
13	14,637148987912166
14	14,806425863672127
15	14,897638223303051
16	14,852192260925543
17	14,496413704312994
18	14,829820470638726
19	14,894033330949146
20	14,879962806666189
21	14,896097560975608
22	14,830025033974678
23	14,814051927616049
24	14,793894571203776
25	14,833408196838565
26	14,84222873900293
27	14,917224805092626
28	14,943692153637082
29	14,883822330305415
30	14,84776911522781
31	14,877459409198199
32	14,90234461054288
33	14,956980187397182
34	14,908693226521711
35	14,969282597811315
36	14,97935340819684
37	14,967045275731348
38	14,988155353694301
39	14,839218939989985
40	14,969159573707174
41	14,93084900936986
42	14,91133252270939
43	14,981087189757528
44	14,981031399756812
45	14,976173378156068
46	14,988850582933983
47	14,862161504899507
48	14,88814534010443
49	14,946102567770543
50	14,918430727415778
51	14,996443745082612
52	14,89351834632716
53	14,869116658322008
54	14,999555110507117
55	14,978729704599099
56	14,981596452328159
57	14,971681567842072
58	14,968946427294185
59	14,989670266790645
60	14,968471497031686
61	14,98525284314427
62	14,991675845790718
63	14,984477505185605
64	14,96377798440741
65	14,982836706959443
66	14,952089264001145
67	14,996825692010585
68	14,92269651670124
69	14,987699020098706
70	14,943408912094986
71	14,997865674844434
72	14,992572777340678
73	14,979849796151921
74	14,992066375795725
75	14,988224018310564
76	14,991734496817108
77	14,991130820399116
78	14,989644517559546
79	14,992422573492599
80	14,995556827122522
81	14,975440955582576
82	14,985659108790504
83	14,947501609326943
84	14,99671983406051
85	14,998652456905802
86	14,99877977254846
87	14,990180959874115
88	14,991883270152352
89	14,992674343752237
90	14,963144267219798
91	14,990833273728631
92	14,993475430941993
93	14,998031614333737
94	14,997930047922182
95	14,997319218939989
96	14,999815463843788
97	14,99885415921608
98	14,986214147771978
99	14,998469351262429
100	14,992561333237967
101	14,995329375581145
102	14,998344896645449
103	14,996561047135398
104	14,999994277948645
105	14,998515127673272
106	14,986241327515916
107	14,999084471783135
108	14,99615907302768
109	14,999610900507832
110	14,999158858450755
111	14,987847793433946
112	14,998150346899365
113	14,999456405121236
114	14,997985837922897
115	14,998901366139762
116	14,998420713825908
117	14,992388241184466
118	14,987251269580145
119	14,999908447178314
120	14,975034689936342
121	14,99994993205064
122	14,985328660324726
123	14,998486517416495
124	14,99704742150061
125	14,999919891281024
126	14,999585151276733
127	14,99951362563479
128	14,996930119447821
129	14,998304842285961
130	14,998040197410774
131	14,968846291395465
132	14,9936671196624
133	14,999231814605537
134	14,999263285887992
135	14,994665617623918
136	14,976179100207423
137	14,999791145125528
138	14,993744367355697
139	14,999995708461483
140	14,988258350618697
141	14,998346327158288
142	14,996973034832987
143	14,999080180244619
144	14,999030112295259
145	14,99970102281668
146	14,996978756884342
147	14,999815463843788
148	14,999176024604822
149	14,999213217938632
